Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
108,PMR446EXT,447.262500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
109,PMR446EXT,447.275000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
110,PMR446EXT,447.287500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
111,PMR446EXT,447.300000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
112,PMR446EXT,447.312500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
113,PMR446EXT,447.325000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
114,PMR446EXT,447.337500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
115,PMR446EXT,447.350000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
116,PMR446EXT,447.362500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
117,PMR446EXT,447.375000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
118,PMR446EXT,447.387500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
119,PMR446EXT,447.400000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
120,PMR446EXT,447.412500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
121,PMR446EXT,447.425000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
122,PMR446EXT,447.437500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
123,REDCIVIL1,448.250000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
124,REDCIVIL2,448.500000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
125,REDCIVIL3,448.750000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
126,REDCIVIL4,449.000000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
127,REDCIVIL5,449.250000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
128,REDCIVIL6,449.500000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
129,REDCIVIL7,449.750000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
130,REDCIVIL8,450.000000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
131,SERVICIOSPU,452.125000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
132,SERVICIOSPU,453.250000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
133,SEGURIDADPR,454.375000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
134,SEGURIDADPR,455.500000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
135,TELECOM1,456.625000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
136,TELECOM2,457.750000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
137,COMERCIAL1,458.875000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
138,COMERCIAL2,460.000000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
139,LICENCIASVA,461.125000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
140,LICENCIASVA,462.250000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
141,LICENCIASVA,463.375000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
142,LICENCIASVA,464.500000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
143,LICENCIASVA,465.625000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
144,LICENCIASVA,466.750000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
145,LICENCIASVA,467.875000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
146,LICENCIASVA,469.000000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
147,LICENCIASVA,470.125000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
148,LICENCIASVA,471.250000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
149,LICENCIASVA,472.375000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
150,LICENCIASVA,473.500000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
151,LICENCIASVA,474.625000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
152,LICENCIASVA,475.750000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
153,LICENCIASVA,476.875000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
154,LICENCIASVA,478.000000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
155,LICENCIASVA,479.125000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
156,LICENCIASVA,480.250000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
157,LICENCIASVA,481.375000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
158,LICENCIASVA,482.500000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
159,LICENCIASVA,483.625000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
160,LICENCIASVA,484.750000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
161,LICENCIASVA,485.875000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
162,LICENCIASVA,487.000000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
163,LICENCIASVA,488.125000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
164,LICENCIASVA,489.250000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
165,LICENCIASVA,490.375000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
166,LICENCIASVA,491.500000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
167,LICENCIASVA,492.625000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
